country_long,disciplines,athletes
AIN,Canoe Sprint,5
AIN,Cycling Road,4
AIN,Rowing,2
AIN,Shooting,2
AIN,Swimming,4
AIN,Taekwondo,1
AIN,Tennis,7
AIN,Trampoline Gymnastics,3
AIN,Weightlifting,2
AIN,Wrestling,2
Afghanistan,Athletics,2
Afghanistan,Cycling Road,2
Afghanistan,Judo,1
Afghanistan,Swimming,1
Albania,Athletics,2
Albania,Shooting,1
Albania,Swimming,2
Albania,Wrestling,3
Algeria,Artistic Gymnastics,1
Algeria,Athletics,8
Algeria,Badminton,2
Algeria,Boxing,5
Algeria,Canoe Slalom,1
Algeria,Cycling Road,2
Algeria,Fencing,5
Algeria,Judo,3
Algeria,Rowing,2
Algeria,Sailing,1
Algeria,Shooting,3
Algeria,Swimming,2
Algeria,Table Tennis,2
Algeria,Weightlifting,1
Algeria,Wrestling,8
American Samoa,Athletics,1
American Samoa,Swimming,1
Andorra,Athletics,1
Andorra,Canoe Slalom,1
Angola,Athletics,1
Angola,Canoe Sprint,2
Angola,Handball,15
Angola,Judo,1
Angola,Rowing,1
Angola,Sailing,3
Angola,Swimming,2
Antigua and Barbuda,Athletics,2
Antigua and Barbuda,Sailing,1
Antigua and Barbuda,Swimming,2
Argentina,Archery,1
Argentina,Athletics,6
Argentina,Canoe Sprint,2
Argentina,Cycling BMX Freestyle,1
Argentina,Cycling BMX Racing,2
Argentina,Cycling Road,1
Argentina,Equestrian,1
Argentina,Fencing,1
Argentina,Football,18
Argentina,Golf,2
Argentina,Handball,15
Argentina,Hockey,34
Argentina,Judo,1
Argentina,Modern Pentathlon,1
Argentina,Rowing,4
Argentina,Rugby Sevens,14
Argentina,Sailing,7
Argentina,Shooting,3
Argentina,Skateboarding,2
Argentina,Swimming,3
Argentina,Table Tennis,1
Argentina,Taekwondo,1
Argentina,Tennis,8
Argentina,Triathlon,1
Argentina,Volleyball,13
Armenia,Artistic Gymnastics,2
Armenia,Athletics,1
Armenia,Boxing,1
Armenia,Shooting,1
Armenia,Swimming,2
Armenia,Weightlifting,3
Armenia,Wrestling,5
Aruba,Cycling BMX Racing,1
Aruba,Sailing,2
Aruba,Shooting,1
Aruba,Swimming,2
Australia,3x3 Basketball,5
Australia,Archery,2
Australia,Artistic Gymnastics,6
Australia,Artistic Swimming,9
Australia,Athletics,78
Australia,Badminton,3
Australia,Basketball,24
Australia,Beach Volleyball,6
Australia,Boxing,12
Australia,Breaking,2
Australia,Canoe Slalom,4
Australia,Canoe Sprint,11
Australia,Cycling BMX Freestyle,2
Australia,Cycling BMX Racing,3
Australia,Cycling Mountain Bike,1
Australia,Cycling Road,7
Australia,Cycling Track,15
Australia,Diving,9
Australia,Equestrian,12
Australia,Football,19
Australia,Golf,4
Australia,Hockey,35
Australia,Judo,3
Australia,Marathon Swimming,4
Australia,Modern Pentathlon,1
